season,location,lat,lon,state,date_report,month
2017/2018,Palotina,-24.284,-53.84,PR,2018-01-06,Jan
2017/2018,Panambi,-28.293,-53.502,RS,2018-02-09,Feb
2017/2018,Passo Fundo,-28.263,-52.407,RS,2018-01-26,Jan
2017/2018,Peabiru,-23.913,-52.343,PR,2018-01-12,Jan
2017/2018,Pinhão,-25.696,-51.66,PR,2018-02-24,Feb
2017/2018,Piraí do Sul,-24.526,-49.949,PR,2017-12-06,Dec
2017/2018,Pitanga,-24.757,-51.761,PR,2018-01-11,Jan
2017/2018,Ponta Grossa,-25.095,-50.162,PR,2018-01-09,Jan
2017/2018,Pontão,-28.059,-52.677,RS,2018-01-29,Jan
2017/2018,Primeiro de Maio,-22.851,-51.028,PR,2018-01-23,Jan
2017/2018,Quarto Centenário,-24.279,-53.076,PR,2017-12-29,Dec
2017/2018,Quinta do Sol,-23.852,-52.13,PR,2018-01-12,Jan
2017/2018,Quinze de Novembro,-28.742,-53.095,RS,2018-02-15,Feb
2017/2018,Rancho Alegre do Oeste,-24.307,-52.954,PR,2017-12-28,Dec
2017/2018,Reserva,-24.65,-50.851,PR,2018-01-18,Jan
2017/2018,Rolândia,-23.31,-51.369,PR,2018-01-25,Jan
2017/2018,Roncador,-24.603,-52.275,PR,2018-01-11,Jan
2017/2018,Roque Gonzales,-28.131,-55.026,RS,2017-12-06,Dec
2017/2018,Sananduva,-27.95,-51.807,RS,2017-12-07,Dec
2017/2018,Santa Bárbara do Sul,-28.358,-53.247,RS,2018-01-11,Jan
2017/2018,Santa Maria,-29.684,-53.807,RS,2017-12-15,Dec
2017/2018,Santa Rosa,-27.871,-54.481,RS,2017-12-26,Dec
2017/2018,Santana do Livramento,-30.891,-55.533,RS,2018-01-23,Jan
2017/2018,Santiago,-29.192,-54.867,RS,2018-01-13,Jan
2017/2018,Santo Augusto,-27.851,-53.777,RS,2017-12-05,Dec
2017/2018,São João,-25.828,-52.725,PR,2018-02-23,Feb
2017/2018,São João do Ivaí,-23.98,-51.818,PR,2018-01-16,Jan
2017/2018,São João do Polêsine,-29.614,-53.446,RS,2018-02-01,Feb
2017/2018,São Jorge do Ivaí,-23.433,-52.293,PR,2018-01-05,Jan
2017/2018,São Luiz Gonzaga,-28.408,-54.961,RS,2018-02-13,Feb
2017/2018,São Miguel do Iguaçu,-25.348,-54.238,PR,2017-11-23,Nov
2017/2018,São Pedro do Iguaçu,-24.936,-53.855,PR,2018-01-03,Jan
2017/2018,São Pedro do Sul,-29.621,-54.179,RS,2018-02-02,Feb
2017/2018,São Sepé,-30.161,-53.565,RS,2018-02-02,Feb
2017/2018,Sarandi,-27.944,-52.923,RS,2018-01-25,Jan
2017/2018,Selbach,-28.629,-52.953,RS,2018-02-14,Feb
2017/2018,Sertaneja,-23.037,-50.838,PR,2017-12-01,Dec
2017/2018,Sertanópolis,-23.059,-51.036,PR,2018-01-15,Jan
2017/2018,Tapejara,-28.068,-52.014,RS,2018-03-08,Mar
2017/2018,Tapera,-28.626,-52.87,RS,2018-02-14,Feb
2017/2018,Tenente Portela,-27.371,-53.758,RS,2018-02-15,Feb
2017/2018,Terra Roxa,-24.157,-54.097,PR,2017-12-13,Dec
2017/2018,Tibagi,-24.509,-50.414,PR,2017-12-06,Dec
2017/2018,Toledo,-24.714,-53.743,PR,2017-12-29,Dec
2017/2018,Tomazina,-23.778,-49.95,PR,2018-01-18,Jan
2017/2018,Três de Maio,-27.773,-54.24,RS,2018-01-06,Jan
2017/2018,Três Passos,-27.456,-53.932,RS,2018-02-15,Feb
2017/2018,Tucunduva,-27.657,-54.44,RS,2018-02-14,Feb
2017/2018,Tupanciretã,-29.081,-53.836,RS,2018-02-13,Feb
2017/2018,Tuparendi,-27.756,-54.482,RS,2017-12-18,Dec
2017/2018,Turvo,-25.043,-51.53,PR,2018-01-24,Jan
2017/2018,Ubiratã,-24.545,-52.988,PR,2018-01-04,Jan
2017/2018,Umuarama,-23.766,-53.325,PR,2018-01-04,Jan
2017/2018,Vacaria,-28.512,-50.934,RS,2018-02-20,Feb
2017/2018,Verê,-25.881,-52.908,PR,2017-12-01,Dec
2017/2018,Victor Graeff,-28.56,-52.748,RS,2017-12-23,Dec
